,is_used_opportunity,transfered_date,start_datetime,end_datetime,origin,duration
11,0.0,0,1811802232.917,1811802282.917,Russia-KinoSat_110301,50.0
12,0.0,0,1811802282.917,1811802332.917,Russia-KinoSat_110301,50.0
13,0.0,0,1811802332.917,1811802382.917,Russia-KinoSat_110301,50.0
14,0.0,0,1811802382.917,1811802432.917,Russia-KinoSat_110301,50.0
15,1.0,11336,1811802432.917,1811802455.058,Russia-KinoSat_110301,22.141000032424927
16,1.0,-6400,1811802851.326,1811802901.326,Moscow-KinoSat_110301,50.0
17,1.0,-4936,1811802901.326,1811802951.326,Moscow-KinoSat_110301,50.0
24,0.0,0,1811807856.804,1811807906.804,Russia-KinoSat_110301,50.0
25,0.0,0,1811807906.804,1811807956.804,Russia-KinoSat_110301,50.0
26,0.0,0,1811807956.804,1811808006.804,Russia-KinoSat_110301,50.0
27,0.0,0,1811808006.804,1811808056.804,Russia-KinoSat_110301,50.0
28,0.0,0,1811808056.804,1811808106.804,Russia-KinoSat_110301,50.0
29,0.0,0,1811808106.804,1811808156.804,Russia-KinoSat_110301,50.0
30,0.0,0,1811808156.804,1811808206.804,Russia-KinoSat_110301,50.0
31,0.0,0,1811808206.804,1811808256.804,Russia-KinoSat_110301,50.0
32,0.0,0,1811808256.804,1811808306.804,Russia-KinoSat_110301,50.0
33,1.0,139,1811808306.804,1811808307.076,Russia-KinoSat_110301,0.2720000743865967
34,0.0,0,1811808311.164,1811808361.164,Russia-KinoSat_110301,50.0
35,1.0,5287,1811808361.164,1811808371.489,Russia-KinoSat_110301,10.325000047683716
36,0.0,0,1811813702.477,1811813752.477,Russia-KinoSat_110301,50.0
37,0.0,0,1811813752.477,1811813802.477,Russia-KinoSat_110301,50.0
38,0.0,0,1811813802.477,1811813852.477,Russia-KinoSat_110301,50.0
39,0.0,0,1811813852.477,1811813902.477,Russia-KinoSat_110301,50.0
40,0.0,0,1811813902.477,1811813952.477,Russia-KinoSat_110301,50.0
41,0.0,0,1811813952.477,1811814002.477,Russia-KinoSat_110301,50.0
42,0.0,0,1811814002.477,1811814052.477,Russia-KinoSat_110301,50.0
43,0.0,0,1811814052.477,1811814102.477,Russia-KinoSat_110301,50.0
44,1.0,11857,1811814102.477,1811814125.636,Russia-KinoSat_110301,23.158999919891357
45,0.0,0,1811819526.028,1811819576.028,Russia-KinoSat_110301,50.0
46,0.0,0,1811819576.028,1811819615.841,Russia-KinoSat_110301,39.812999963760376
47,1.0,-6400,1811819615.841,1811819665.841,Moscow-KinoSat_110301,50.0
48,1.0,-6400,1811819665.841,1811819715.841,Moscow-KinoSat_110301,50.0
49,1.0,-4483,1811819715.841,1811819765.841,Moscow-KinoSat_110301,50.0
51,0.0,0,1811819615.841,1811819665.841,Russia-KinoSat_110301,50.0
52,0.0,0,1811819665.841,1811819715.841,Russia-KinoSat_110301,50.0
53,0.0,0,1811819715.841,1811819765.841,Russia-KinoSat_110301,50.0
54,1.0,14962,1811819765.841,1811819795.063,Russia-KinoSat_110301,29.221999883651733
55,1.0,-945,1811819795.063,1811819802.442,Moscow-KinoSat_110301,7.378999948501587
56,1.0,-6400,1811819802.442,1811819852.442,Moscow-KinoSat_110301,50.0
57,1.0,-3024,1811819852.442,1811819876.067,Moscow-KinoSat_110301,23.625
58,0.0,0,1811819802.442,1811819852.442,Russia-KinoSat_110301,50.0
59,1.0,12096,1811819852.442,1811819876.067,Russia-KinoSat_110301,23.625
60,1.0,-6400,1811819876.067,1811819926.067,Moscow-KinoSat_110301,50.0
61,1.0,-6400,1811819926.067,1811819976.067,Moscow-KinoSat_110301,50.0
62,1.0,-3889,1811819976.067,1811820026.067,Moscow-KinoSat_110301,50.0
75,0.0,0,1811825331.352,1811825381.352,Russia-KinoSat_110301,50.0
76,0.0,0,1811825381.352,1811825431.352,Russia-KinoSat_110301,50.0
77,0.0,0,1811825431.352,1811825481.352,Russia-KinoSat_110301,50.0
78,0.0,0,1811825481.352,1811825531.352,Russia-KinoSat_110301,50.0
79,0.0,0,1811825531.352,1811825581.352,Russia-KinoSat_110301,50.0
80,1.0,19271,1811825581.352,1811825618.991,Russia-KinoSat_110301,37.638999938964844
81,1.0,-6400,1811825618.991,1811825668.991,Moscow-KinoSat_110301,50.0
82,1.0,-6400,1811825668.991,1811825718.991,Moscow-KinoSat_110301,50.0
83,1.0,-6400,1811825718.991,1811825768.991,Moscow-KinoSat_110301,50.0
84,1.0,-71,1811825768.991,1811825818.991,Moscow-KinoSat_110301,50.0
92,1.0,3587,1811831047.532,1811831054.538,Russia-KinoSat_110301,7.00600004196167
93,1.0,-3587,1811831054.538,1811831104.538,Moscow-KinoSat_110301,50.0
99,0.0,0,1811831149.098,1811831199.098,Russia-KinoSat_110301,50.0
100,0.0,0,1811831199.098,1811831249.098,Russia-KinoSat_110301,50.0
101,0.0,0,1811831249.098,1811831299.098,Russia-KinoSat_110301,50.0
102,1.0,9776,1811831299.098,1811831318.191,Russia-KinoSat_110301,19.092999935150146
103,1.0,-6400,1811831318.191,1811831368.191,Moscow-KinoSat_110301,50.0
104,1.0,-3376,1811831368.191,1811831418.191,Moscow-KinoSat_110301,50.0
121,0.0,0,1811849505.759,1811849555.759,Russia-KinoSat_110301,50.0
122,0.0,0,1811849555.759,1811849605.759,Russia-KinoSat_110301,50.0
123,0.0,0,1811849605.759,1811849649.422,Russia-KinoSat_110301,43.662999868392944
124,0.0,0,1811849671.143,1811849721.143,Russia-KinoSat_110301,50.0
125,0.0,0,1811849721.143,1811849771.143,Russia-KinoSat_110301,50.0
126,0.0,0,1811849771.143,1811849802.656,Russia-KinoSat_110301,31.513000011444092
127,0.0,0,1811855260.25,1811855310.25,Russia-KinoSat_110301,50.0
128,0.0,0,1811855310.25,1811855360.25,Russia-KinoSat_110301,50.0
129,0.0,0,1811855360.25,1811855410.25,Russia-KinoSat_110301,50.0
130,0.0,0,1811855410.25,1811855460.25,Russia-KinoSat_110301,50.0
131,0.0,0,1811855460.25,1811855510.25,Russia-KinoSat_110301,50.0
132,0.0,0,1811855510.25,1811855560.25,Russia-KinoSat_110301,50.0
133,0.0,0,1811855560.25,1811855610.25,Russia-KinoSat_110301,50.0
134,0.0,0,1811855610.25,1811855660.25,Russia-KinoSat_110301,50.0
135,0.0,0,1811855660.25,1811855673.599,Russia-KinoSat_110301,13.348999977111816
136,0.0,0,1811861063.686,1811861113.686,Russia-KinoSat_110301,50.0
137,0.0,0,1811861113.686,1811861163.686,Russia-KinoSat_110301,50.0
138,0.0,0,1811861163.686,1811861213.686,Russia-KinoSat_110301,50.0
139,0.0,0,1811861213.686,1811861263.686,Russia-KinoSat_110301,50.0
140,0.0,0,1811861263.686,1811861313.686,Russia-KinoSat_110301,50.0
141,0.0,0,1811861313.686,1811861363.686,Russia-KinoSat_110301,50.0
142,0.0,0,1811861363.686,1811861413.686,Russia-KinoSat_110301,50.0
143,0.0,0,1811861413.686,1811861449.531,Russia-KinoSat_110301,35.84499979019165
144,0.0,0,1811866792.063,1811866842.063,Russia-KinoSat_110301,50.0
145,0.0,0,1811866842.063,1811866892.063,Russia-KinoSat_110301,50.0
146,0.0,0,1811866892.063,1811866942.063,Russia-KinoSat_110301,50.0
147,0.0,0,1811866942.063,1811866992.063,Russia-KinoSat_110301,50.0
148,0.0,0,1811866992.063,1811867042.063,Russia-KinoSat_110301,50.0
149,0.0,0,1811867042.063,1811867092.063,Russia-KinoSat_110301,50.0
150,0.0,0,1811867092.063,1811867142.063,Russia-KinoSat_110301,50.0
151,0.0,0,1811867142.063,1811867192.063,Russia-KinoSat_110301,50.0
152,0.0,0,1811867192.063,1811867241.803,Russia-KinoSat_110301,49.74000000953674
