,is_used_opportunity,transfered_data,start_datetime,end_datetime,origin,duration
0,0.0,0,1811801981.1,1811802481.1,Moscow-KinoSat_110601,500.0
1,0.0,0,1811802481.1,1811802713.565,Moscow-KinoSat_110601,232.4650001525879
2,0.0,0,1811807771.373,1811808270.947,Moscow-KinoSat_110601,499.57400012016296
3,1.0,57833,1811812786.789,1811812899.745,Russia-KinoSat_110601,112.9559998512268
4,0.6954416422976688,112010,1811812910.308,1811813224.884,Russia-KinoSat_110601,314.57599997520447
5,1.0,11887,1811813263.114,1811813286.33,Russia-KinoSat_110601,23.215999841690063
6,0.0,0,1811818632.496,1811819071.462,Russia-KinoSat_110601,438.96599984169006
7,1.0,118006,1811824439.559,1811824670.039,Russia-KinoSat_110601,230.4800000190735
9,0.9999999999999982,81854,1811824670.039,1811824829.91,Russia-KinoSat_110601,159.8710000514984
10,1.0,-3364,1811824829.91,1811824935.012,Moscow-KinoSat_110601,105.10199999809265
11,1.0,-6181,1811830124.283,1811830317.449,Moscow-KinoSat_110601,193.16599988937378
12,0.0,0,1811830317.449,1811830567.361,Moscow-KinoSat_110601,249.91200017929077
13,1.0,127955,1811830317.449,1811830567.361,Russia-KinoSat_110601,249.91200017929077
14,1.0,-6178,1811830567.361,1811830760.408,Moscow-KinoSat_110601,193.04699993133545
15,1.0,-5509,1811835762.558,1811835934.728,Moscow-KinoSat_110601,172.16999983787537
16,0.8927734250987277,-12680,1811835934.728,1811836378.571,Moscow-KinoSat_110601,443.8430001735687
17,0.10722657490127234,24367,1811835934.728,1811836378.571,Russia-KinoSat_110601,443.8430001735687
18,1.0,-4980,1811836378.571,1811836534.205,Moscow-KinoSat_110601,155.63399982452393
19,1.0,-16000,1811841584.498,1811842084.498,Moscow-KinoSat_110601,500.0
20,1.0,-5818,1811842084.498,1811842266.289,Moscow-KinoSat_110601,181.79100012779236
21,1.0,-16000,1811877647.748,1811878147.748,Moscow-KinoSat_110601,500.0
22,1.0,-1449,1811878147.748,1811878193.03,Moscow-KinoSat_110601,45.28200006484985
