,index,start_datetime,end_datetime,origin,duration
0,0,1811797304.701,1811797476.904,Anadyr2-KinoSat_110508,172.20300006866455
1,3,1811797476.904,1811797850.768,Magadan1-KinoSat_110508,373.8639998435974
2,4,1811797476.904,1811797850.768,Magadan2-KinoSat_110508,373.8639998435974
3,5,1811797476.904,1811797850.768,Anadyr2-KinoSat_110508,373.8639998435974
4,6,1811797850.768,1811798020.201,Magadan1-KinoSat_110508,169.43300008773804
5,7,1811797850.768,1811798020.201,Magadan2-KinoSat_110508,169.43300008773804
6,8,1811797850.768,1811798020.201,Anadyr2-KinoSat_110508,169.43300008773804
7,9,1811797850.768,1811798020.201,Norilsk-KinoSat_110508,169.43300008773804
13,20,1811798020.201,1811798038.164,Murmansk1-KinoSat_110508,17.963000059127808
12,19,1811798020.201,1811798038.164,Murmansk2-KinoSat_110508,17.963000059127808
11,18,1811798020.201,1811798038.164,Anadyr2-KinoSat_110508,17.963000059127808
10,17,1811798020.201,1811798038.164,Magadan2-KinoSat_110508,17.963000059127808
9,16,1811798020.201,1811798038.164,Norilsk-KinoSat_110508,17.963000059127808
8,15,1811798020.201,1811798038.164,Magadan1-KinoSat_110508,17.963000059127808
14,26,1811798038.164,1811798069.356,Norilsk-KinoSat_110508,31.191999912261963
15,27,1811798038.164,1811798069.356,Anadyr2-KinoSat_110508,31.191999912261963
16,28,1811798038.164,1811798069.356,Murmansk2-KinoSat_110508,31.191999912261963
17,29,1811798038.164,1811798069.356,Murmansk1-KinoSat_110508,31.191999912261963
18,30,1811798069.356,1811798212.934,Norilsk-KinoSat_110508,143.57800006866455
19,31,1811798069.356,1811798212.934,Murmansk2-KinoSat_110508,143.57800006866455
20,32,1811798069.356,1811798212.934,Murmansk1-KinoSat_110508,143.57800006866455
24,36,1811798212.934,1811798215.236,Murmansk1-KinoSat_110508,2.302000045776367
23,35,1811798212.934,1811798215.236,Murmansk2-KinoSat_110508,2.302000045776367
21,33,1811798212.934,1811798215.236,Norilsk-KinoSat_110508,2.302000045776367
22,34,1811798212.934,1811798215.236,Moscow-KinoSat_110508,2.302000045776367
25,37,1811798215.236,1811798423.43,Norilsk-KinoSat_110508,208.19400000572205
26,38,1811798215.236,1811798423.43,Novosib-KinoSat_110508,208.19400000572205
27,39,1811798215.236,1811798423.43,Moscow-KinoSat_110508,208.19400000572205
28,40,1811798215.236,1811798423.43,Murmansk2-KinoSat_110508,208.19400000572205
29,41,1811798215.236,1811798423.43,Murmansk1-KinoSat_110508,208.19400000572205
33,45,1811798423.43,1811798528.958,Murmansk1-KinoSat_110508,105.52799987792969
30,42,1811798423.43,1811798528.958,Norilsk-KinoSat_110508,105.52799987792969
31,43,1811798423.43,1811798528.958,Moscow-KinoSat_110508,105.52799987792969
32,44,1811798423.43,1811798528.958,Murmansk2-KinoSat_110508,105.52799987792969
36,48,1811798528.958,1811798795.914,Murmansk1-KinoSat_110508,266.9560000896454
34,46,1811798528.958,1811798795.914,Moscow-KinoSat_110508,266.9560000896454
35,47,1811798528.958,1811798795.914,Murmansk2-KinoSat_110508,266.9560000896454
37,51,1811798795.914,1811798974.79,Moscow-KinoSat_110508,178.87599992752075
38,55,1811803068.579,1811803539.078,Magadan1-KinoSat_110508,470.49900007247925
39,56,1811803068.579,1811803539.078,Magadan2-KinoSat_110508,470.49900007247925
40,57,1811803068.579,1811803539.078,Anadyr2-KinoSat_110508,470.49900007247925
43,60,1811803539.078,1811803773.917,Magadan2-KinoSat_110508,234.83899998664856
41,58,1811803539.078,1811803773.917,Magadan1-KinoSat_110508,234.83899998664856
42,59,1811803539.078,1811803773.917,Norilsk-KinoSat_110508,234.83899998664856
44,61,1811803539.078,1811803773.917,Anadyr2-KinoSat_110508,234.83899998664856
50,72,1811803773.917,1811803804.236,Murmansk2-KinoSat_110508,30.319000005722046
49,71,1811803773.917,1811803804.236,Murmansk1-KinoSat_110508,30.319000005722046
48,70,1811803773.917,1811803804.236,Anadyr2-KinoSat_110508,30.319000005722046
47,69,1811803773.917,1811803804.236,Magadan2-KinoSat_110508,30.319000005722046
46,68,1811803773.917,1811803804.236,Norilsk-KinoSat_110508,30.319000005722046
45,67,1811803773.917,1811803804.236,Magadan1-KinoSat_110508,30.319000005722046
51,78,1811803804.236,1811803823.881,Norilsk-KinoSat_110508,19.644999980926514
52,79,1811803804.236,1811803823.881,Anadyr2-KinoSat_110508,19.644999980926514
53,80,1811803804.236,1811803823.881,Murmansk1-KinoSat_110508,19.644999980926514
54,81,1811803804.236,1811803823.881,Murmansk2-KinoSat_110508,19.644999980926514
55,82,1811803823.881,1811803992.72,Norilsk-KinoSat_110508,168.83899998664856
56,83,1811803823.881,1811803992.72,Murmansk1-KinoSat_110508,168.83899998664856
57,84,1811803823.881,1811803992.72,Murmansk2-KinoSat_110508,168.83899998664856
61,88,1811803992.72,1811804187.889,Murmansk2-KinoSat_110508,195.16899991035461
60,87,1811803992.72,1811804187.889,Murmansk1-KinoSat_110508,195.16899991035461
58,85,1811803992.72,1811804187.889,Norilsk-KinoSat_110508,195.16899991035461
59,86,1811803992.72,1811804187.889,Moscow-KinoSat_110508,195.16899991035461
62,89,1811804187.889,1811804525.479,Moscow-KinoSat_110508,337.5900001525879
63,90,1811804187.889,1811804525.479,Murmansk1-KinoSat_110508,337.5900001525879
64,91,1811804187.889,1811804525.479,Murmansk2-KinoSat_110508,337.5900001525879
65,94,1811804525.479,1811804581.796,Moscow-KinoSat_110508,56.31699991226196
66,96,1811808794.215,1811808980.687,Magadan1-KinoSat_110508,186.4720001220703
67,97,1811808794.215,1811808980.687,Magadan2-KinoSat_110508,186.4720001220703
68,98,1811808980.687,1811809097.766,Magadan1-KinoSat_110508,117.0789999961853
69,99,1811808980.687,1811809097.766,Magadan2-KinoSat_110508,117.0789999961853
70,100,1811808980.687,1811809097.766,Anadyr2-KinoSat_110508,117.0789999961853
74,104,1811809097.766,1811809183.881,Irkutsk-KinoSat_110508,86.11500000953674
72,102,1811809097.766,1811809183.881,Magadan2-KinoSat_110508,86.11500000953674
71,101,1811809097.766,1811809183.881,Magadan1-KinoSat_110508,86.11500000953674
73,103,1811809097.766,1811809183.881,Anadyr2-KinoSat_110508,86.11500000953674
75,105,1811809183.881,1811809196.09,Magadan1-KinoSat_110508,12.208999872207642
76,106,1811809183.881,1811809196.09,Magadan2-KinoSat_110508,12.208999872207642
77,107,1811809183.881,1811809196.09,Anadyr2-KinoSat_110508,12.208999872207642
78,108,1811809183.881,1811809196.09,Russia-KinoSat_110508,12.208999872207642
79,109,1811809183.881,1811809196.09,Irkutsk-KinoSat_110508,12.208999872207642
84,114,1811809196.09,1811809400.309,Russia-KinoSat_110508,204.21900010108948
85,115,1811809196.09,1811809400.309,Irkutsk-KinoSat_110508,204.21900010108948
83,113,1811809196.09,1811809400.309,Anadyr2-KinoSat_110508,204.21900010108948
82,112,1811809196.09,1811809400.309,Magadan2-KinoSat_110508,204.21900010108948
81,111,1811809196.09,1811809400.309,Norilsk-KinoSat_110508,204.21900010108948
80,110,1811809196.09,1811809400.309,Magadan1-KinoSat_110508,204.21900010108948
86,116,1811809400.309,1811809472.517,Magadan1-KinoSat_110508,72.20799994468689
87,117,1811809400.309,1811809472.517,Norilsk-KinoSat_110508,72.20799994468689
88,118,1811809400.309,1811809472.517,Magadan2-KinoSat_110508,72.20799994468689
89,119,1811809400.309,1811809472.517,Anadyr2-KinoSat_110508,72.20799994468689
90,120,1811809400.309,1811809472.517,Irkutsk-KinoSat_110508,72.20799994468689
92,122,1811809472.517,1811809508.315,Norilsk-KinoSat_110508,35.79800009727478
93,123,1811809472.517,1811809508.315,Magadan2-KinoSat_110508,35.79800009727478
91,121,1811809472.517,1811809508.315,Magadan1-KinoSat_110508,35.79800009727478
94,124,1811809472.517,1811809508.315,Anadyr2-KinoSat_110508,35.79800009727478
99,134,1811809508.315,1811809557.192,Murmansk2-KinoSat_110508,48.876999855041504
100,135,1811809508.315,1811809557.192,Murmansk1-KinoSat_110508,48.876999855041504
98,133,1811809508.315,1811809557.192,Anadyr2-KinoSat_110508,48.876999855041504
96,131,1811809508.315,1811809557.192,Norilsk-KinoSat_110508,48.876999855041504
97,132,1811809508.315,1811809557.192,Magadan2-KinoSat_110508,48.876999855041504
95,130,1811809508.315,1811809557.192,Magadan1-KinoSat_110508,48.876999855041504
101,136,1811809557.192,1811809560.712,Magadan1-KinoSat_110508,3.5199999809265137
102,137,1811809557.192,1811809560.712,Norilsk-KinoSat_110508,3.5199999809265137
103,138,1811809557.192,1811809560.712,Magadan2-KinoSat_110508,3.5199999809265137
104,139,1811809557.192,1811809560.712,Murmansk2-KinoSat_110508,3.5199999809265137
105,140,1811809557.192,1811809560.712,Murmansk1-KinoSat_110508,3.5199999809265137
106,145,1811809560.712,1811809858.693,Norilsk-KinoSat_110508,297.9810001850128
107,146,1811809560.712,1811809858.693,Murmansk2-KinoSat_110508,297.9810001850128
108,147,1811809560.712,1811809858.693,Murmansk1-KinoSat_110508,297.9810001850128
112,151,1811809858.693,1811809880.672,Murmansk1-KinoSat_110508,21.978999853134155
111,150,1811809858.693,1811809880.672,Murmansk2-KinoSat_110508,21.978999853134155
109,148,1811809858.693,1811809880.672,Norilsk-KinoSat_110508,21.978999853134155
110,149,1811809858.693,1811809880.672,Moscow-KinoSat_110508,21.978999853134155
113,152,1811809880.672,1811809973.362,Moscow-KinoSat_110508,92.69000005722046
114,153,1811809880.672,1811809973.362,Murmansk2-KinoSat_110508,92.69000005722046
115,154,1811809880.672,1811809973.362,Murmansk1-KinoSat_110508,92.69000005722046
116,155,1811809973.362,1811810188.567,Murmansk2-KinoSat_110508,215.20499992370605
117,156,1811809973.362,1811810188.567,Murmansk1-KinoSat_110508,215.20499992370605
118,158,1811814591.921,1811814698.627,Irkutsk-KinoSat_110508,106.70600008964539
120,162,1811814698.627,1811814839.723,Magadan2-KinoSat_110508,141.09599995613098
121,163,1811814698.627,1811814839.723,Irkutsk-KinoSat_110508,141.09599995613098
119,161,1811814698.627,1811814839.723,Magadan1-KinoSat_110508,141.09599995613098
124,166,1811814839.723,1811814862.449,Magadan2-KinoSat_110508,22.72599983215332
125,167,1811814839.723,1811814862.449,Irkutsk-KinoSat_110508,22.72599983215332
123,165,1811814839.723,1811814862.449,Novosib-KinoSat_110508,22.72599983215332
122,164,1811814839.723,1811814862.449,Magadan1-KinoSat_110508,22.72599983215332
126,168,1811814862.449,1811814881.631,Magadan1-KinoSat_110508,19.182000160217285
127,169,1811814862.449,1811814881.631,Norilsk-KinoSat_110508,19.182000160217285
128,170,1811814862.449,1811814881.631,Novosib-KinoSat_110508,19.182000160217285
129,171,1811814862.449,1811814881.631,Magadan2-KinoSat_110508,19.182000160217285
130,172,1811814862.449,1811814881.631,Irkutsk-KinoSat_110508,19.182000160217285
131,173,1811814881.631,1811815205.111,Magadan1-KinoSat_110508,323.4800000190735
132,174,1811814881.631,1811815205.111,Norilsk-KinoSat_110508,323.4800000190735
133,175,1811814881.631,1811815205.111,Novosib-KinoSat_110508,323.4800000190735
134,176,1811814881.631,1811815205.111,Magadan2-KinoSat_110508,323.4800000190735
135,177,1811814881.631,1811815205.111,Russia-KinoSat_110508,323.4800000190735
136,178,1811814881.631,1811815205.111,Irkutsk-KinoSat_110508,323.4800000190735
142,191,1811815205.111,1811815277.489,Murmansk1-KinoSat_110508,72.37800002098083
143,192,1811815205.111,1811815277.489,Russia-KinoSat_110508,72.37800002098083
141,190,1811815205.111,1811815277.489,Murmansk2-KinoSat_110508,72.37800002098083
144,193,1811815205.111,1811815277.489,Irkutsk-KinoSat_110508,72.37800002098083
139,188,1811815205.111,1811815277.489,Novosib-KinoSat_110508,72.37800002098083
138,187,1811815205.111,1811815277.489,Norilsk-KinoSat_110508,72.37800002098083
137,186,1811815205.111,1811815277.489,Magadan1-KinoSat_110508,72.37800002098083
140,189,1811815205.111,1811815277.489,Magadan2-KinoSat_110508,72.37800002098083
150,206,1811815277.489,1811815299.642,Irkutsk-KinoSat_110508,22.152999877929688
149,205,1811815277.489,1811815299.642,Russia-KinoSat_110508,22.152999877929688
148,204,1811815277.489,1811815299.642,Murmansk1-KinoSat_110508,22.152999877929688
146,202,1811815277.489,1811815299.642,Novosib-KinoSat_110508,22.152999877929688
145,201,1811815277.489,1811815299.642,Norilsk-KinoSat_110508,22.152999877929688
147,203,1811815277.489,1811815299.642,Murmansk2-KinoSat_110508,22.152999877929688
151,207,1811815299.642,1811815303.059,Norilsk-KinoSat_110508,3.4170000553131104
152,208,1811815299.642,1811815303.059,Novosib-KinoSat_110508,3.4170000553131104
153,209,1811815299.642,1811815303.059,Murmansk2-KinoSat_110508,3.4170000553131104
154,210,1811815299.642,1811815303.059,Murmansk1-KinoSat_110508,3.4170000553131104
155,211,1811815299.642,1811815303.059,Russia-KinoSat_110508,3.4170000553131104
157,213,1811815303.059,1811815367.698,Novosib-KinoSat_110508,64.63899993896484
159,215,1811815303.059,1811815367.698,Murmansk1-KinoSat_110508,64.63899993896484
156,212,1811815303.059,1811815367.698,Norilsk-KinoSat_110508,64.63899993896484
158,214,1811815303.059,1811815367.698,Murmansk2-KinoSat_110508,64.63899993896484
160,216,1811815367.698,1811815610.424,Norilsk-KinoSat_110508,242.7260000705719
161,217,1811815367.698,1811815610.424,Murmansk2-KinoSat_110508,242.7260000705719
162,218,1811815367.698,1811815610.424,Murmansk1-KinoSat_110508,242.7260000705719
163,219,1811815610.424,1811815834.074,Murmansk2-KinoSat_110508,223.64999985694885
164,220,1811815610.424,1811815834.074,Murmansk1-KinoSat_110508,223.64999985694885
165,222,1811820297.59,1811820411.813,Irkutsk-KinoSat_110508,114.22300004959106
167,224,1811820411.813,1811820585.024,Irkutsk-KinoSat_110508,173.21099996566772
166,223,1811820411.813,1811820585.024,Novosib-KinoSat_110508,173.21099996566772
170,227,1811820585.024,1811820653.732,Irkutsk-KinoSat_110508,68.70800018310547
169,226,1811820585.024,1811820653.732,Novosib-KinoSat_110508,68.70800018310547
168,225,1811820585.024,1811820653.732,Norilsk-KinoSat_110508,68.70800018310547
171,228,1811820653.732,1811820859.835,Norilsk-KinoSat_110508,206.1029999256134
172,229,1811820653.732,1811820859.835,Novosib-KinoSat_110508,206.1029999256134
173,230,1811820653.732,1811820859.835,Russia-KinoSat_110508,206.1029999256134
174,231,1811820653.732,1811820859.835,Irkutsk-KinoSat_110508,206.1029999256134
180,242,1811820859.835,1811821040.119,Irkutsk-KinoSat_110508,180.28399991989136
179,241,1811820859.835,1811821040.119,Russia-KinoSat_110508,180.28399991989136
178,240,1811820859.835,1811821040.119,Murmansk2-KinoSat_110508,180.28399991989136
176,238,1811820859.835,1811821040.119,Novosib-KinoSat_110508,180.28399991989136
175,237,1811820859.835,1811821040.119,Norilsk-KinoSat_110508,180.28399991989136
177,239,1811820859.835,1811821040.119,Murmansk1-KinoSat_110508,180.28399991989136
185,247,1811821040.119,1811821061.152,Irkutsk-KinoSat_110508,21.032999992370605
181,243,1811821040.119,1811821061.152,Norilsk-KinoSat_110508,21.032999992370605
182,244,1811821040.119,1811821061.152,Novosib-KinoSat_110508,21.032999992370605
183,245,1811821040.119,1811821061.152,Murmansk1-KinoSat_110508,21.032999992370605
184,246,1811821040.119,1811821061.152,Murmansk2-KinoSat_110508,21.032999992370605
188,250,1811821061.152,1811821154.647,Murmansk1-KinoSat_110508,93.49500012397766
189,251,1811821061.152,1811821154.647,Murmansk2-KinoSat_110508,93.49500012397766
186,248,1811821061.152,1811821154.647,Norilsk-KinoSat_110508,93.49500012397766
187,249,1811821061.152,1811821154.647,Novosib-KinoSat_110508,93.49500012397766
191,253,1811821154.647,1811821362.281,Murmansk1-KinoSat_110508,207.63399982452393
192,254,1811821154.647,1811821362.281,Murmansk2-KinoSat_110508,207.63399982452393
190,252,1811821154.647,1811821362.281,Norilsk-KinoSat_110508,207.63399982452393
194,256,1811821362.281,1811821510.952,Murmansk2-KinoSat_110508,148.6710000038147
193,255,1811821362.281,1811821510.952,Murmansk1-KinoSat_110508,148.6710000038147
195,258,1811826157.367,1811826248.412,Novosib-KinoSat_110508,91.04499983787537
196,259,1811826248.412,1811826398.219,Novosib-KinoSat_110508,149.80700016021729
197,260,1811826248.412,1811826398.219,Irkutsk-KinoSat_110508,149.80700016021729
198,261,1811826398.219,1811826425.521,Norilsk-KinoSat_110508,27.301999807357788
199,262,1811826398.219,1811826425.521,Novosib-KinoSat_110508,27.301999807357788
200,263,1811826398.219,1811826425.521,Irkutsk-KinoSat_110508,27.301999807357788
201,264,1811826425.521,1811826508.407,Norilsk-KinoSat_110508,82.88600015640259
202,265,1811826425.521,1811826508.407,Novosib-KinoSat_110508,82.88600015640259
203,266,1811826425.521,1811826508.407,Moscow-KinoSat_110508,82.88600015640259
204,267,1811826425.521,1811826508.407,Irkutsk-KinoSat_110508,82.88600015640259
210,278,1811826508.407,1811826534.099,Irkutsk-KinoSat_110508,25.691999912261963
209,277,1811826508.407,1811826534.099,Murmansk2-KinoSat_110508,25.691999912261963
208,276,1811826508.407,1811826534.099,Murmansk1-KinoSat_110508,25.691999912261963
207,275,1811826508.407,1811826534.099,Moscow-KinoSat_110508,25.691999912261963
206,274,1811826508.407,1811826534.099,Novosib-KinoSat_110508,25.691999912261963
205,273,1811826508.407,1811826534.099,Norilsk-KinoSat_110508,25.691999912261963
211,279,1811826534.099,1811826730.637,Norilsk-KinoSat_110508,196.53800010681152
212,280,1811826534.099,1811826730.637,Novosib-KinoSat_110508,196.53800010681152
213,281,1811826534.099,1811826730.637,Moscow-KinoSat_110508,196.53800010681152
214,282,1811826534.099,1811826730.637,Murmansk1-KinoSat_110508,196.53800010681152
215,283,1811826534.099,1811826730.637,Murmansk2-KinoSat_110508,196.53800010681152
216,284,1811826534.099,1811826730.637,Russia-KinoSat_110508,196.53800010681152
217,285,1811826534.099,1811826730.637,Irkutsk-KinoSat_110508,196.53800010681152
223,291,1811826730.637,1811826785.796,Russia-KinoSat_110508,55.15899991989136
222,290,1811826730.637,1811826785.796,Murmansk2-KinoSat_110508,55.15899991989136
221,289,1811826730.637,1811826785.796,Murmansk1-KinoSat_110508,55.15899991989136
218,286,1811826730.637,1811826785.796,Norilsk-KinoSat_110508,55.15899991989136
219,287,1811826730.637,1811826785.796,Novosib-KinoSat_110508,55.15899991989136
220,288,1811826730.637,1811826785.796,Moscow-KinoSat_110508,55.15899991989136
224,292,1811826785.796,1811826906.73,Norilsk-KinoSat_110508,120.93400001525879
225,293,1811826785.796,1811826906.73,Novosib-KinoSat_110508,120.93400001525879
226,294,1811826785.796,1811826906.73,Moscow-KinoSat_110508,120.93400001525879
227,295,1811826785.796,1811826906.73,Murmansk1-KinoSat_110508,120.93400001525879
228,296,1811826785.796,1811826906.73,Murmansk2-KinoSat_110508,120.93400001525879
231,299,1811826906.73,1811826984.402,Murmansk1-KinoSat_110508,77.67199993133545
232,300,1811826906.73,1811826984.402,Murmansk2-KinoSat_110508,77.67199993133545
229,297,1811826906.73,1811826984.402,Norilsk-KinoSat_110508,77.67199993133545
230,298,1811826906.73,1811826984.402,Moscow-KinoSat_110508,77.67199993133545
233,301,1811826984.402,1811827122.107,Norilsk-KinoSat_110508,137.70500016212463
234,302,1811826984.402,1811827122.107,Murmansk1-KinoSat_110508,137.70500016212463
235,303,1811826984.402,1811827122.107,Murmansk2-KinoSat_110508,137.70500016212463
236,304,1811827122.107,1811827231.159,Murmansk1-KinoSat_110508,109.05199980735779
237,305,1811827122.107,1811827231.159,Murmansk2-KinoSat_110508,109.05199980735779
238,307,1811832014.634,1811832144.061,Moscow-KinoSat_110508,129.42700004577637
239,308,1811832144.061,1811832204.078,Novosib-KinoSat_110508,60.01699995994568
240,309,1811832144.061,1811832204.078,Moscow-KinoSat_110508,60.01699995994568
244,316,1811832204.078,1811832275.109,Murmansk1-KinoSat_110508,71.03099989891052
243,315,1811832204.078,1811832275.109,Murmansk2-KinoSat_110508,71.03099989891052
242,314,1811832204.078,1811832275.109,Moscow-KinoSat_110508,71.03099989891052
241,313,1811832204.078,1811832275.109,Novosib-KinoSat_110508,71.03099989891052
245,317,1811832275.109,1811832333.145,Novosib-KinoSat_110508,58.03600001335144
246,318,1811832275.109,1811832333.145,Moscow-KinoSat_110508,58.03600001335144
247,319,1811832275.109,1811832333.145,Murmansk2-KinoSat_110508,58.03600001335144
248,320,1811832275.109,1811832333.145,Murmansk1-KinoSat_110508,58.03600001335144
249,321,1811832275.109,1811832333.145,Russia-KinoSat_110508,58.03600001335144
255,327,1811832333.145,1811832538.475,Russia-KinoSat_110508,205.32999992370605
254,326,1811832333.145,1811832538.475,Murmansk1-KinoSat_110508,205.32999992370605
253,325,1811832333.145,1811832538.475,Murmansk2-KinoSat_110508,205.32999992370605
251,323,1811832333.145,1811832538.475,Novosib-KinoSat_110508,205.32999992370605
250,322,1811832333.145,1811832538.475,Norilsk-KinoSat_110508,205.32999992370605
252,324,1811832333.145,1811832538.475,Moscow-KinoSat_110508,205.32999992370605
