,is_used_opportunity,transfered_data,start_datetime,end_datetime,origin,duration
0,0.0,0,1811842637.883,1811843137.883,Anadyr2-KinoSat_110601,500.0
1,0.0,0,1811843137.883,1811843174.132,Anadyr2-KinoSat_110601,36.24900007247925
2,0.0,0,1811848364.853,1811848864.853,Anadyr2-KinoSat_110601,500.0
3,0.0,0,1811848864.853,1811849109.517,Anadyr2-KinoSat_110601,244.66400003433228
4,0.0,0,1811854118.544,1811854618.544,Anadyr2-KinoSat_110601,500.0
5,0.0,0,1811854618.544,1811854888.611,Anadyr2-KinoSat_110601,270.06700015068054
6,0.0,0,1811859870.448,1811860370.448,Anadyr2-KinoSat_110601,500.0
7,0.0,0,1811860370.448,1811860557.146,Anadyr2-KinoSat_110601,186.69799995422363
8,0.0,0,1811865597.267,1811866097.267,Anadyr2-KinoSat_110601,500.0
9,0.0,0,1811866097.267,1811866160.638,Anadyr2-KinoSat_110601,63.37100005149841
10,0.0,0,1811871262.687,1811871762.687,Anadyr2-KinoSat_110601,500.0
11,0.0,0,1811871762.687,1811871776.279,Anadyr2-KinoSat_110601,13.592000007629395
12,0.0,0,1811876865.583,1811877365.583,Anadyr2-KinoSat_110601,500.0
13,0.0,0,1811877365.583,1811877463.353,Anadyr2-KinoSat_110601,97.76999998092651
14,0.0,0,1811882481.703,1811882981.703,Anadyr2-KinoSat_110601,500.0
15,0.0,0,1811882981.703,1811883200.733,Anadyr2-KinoSat_110601,219.02999997138977
