,is_used_opportunity,transfered_data,start_datetime,end_datetime,origin,duration
0,0.0,0,1811970003.798,1811970009.719,Murmansk1-KinoSat_110503,5.921000003814697
1,0.0,0,1811970003.798,1811970009.719,Anadyr2-KinoSat_110701,5.921000003814697
2,0.0,0,1811970003.798,1811970009.719,Norilsk-KinoSat_110801,5.921000003814697
3,0.0,0,1811970003.798,1811970009.719,Murmansk1-KinoSat_110304,5.921000003814697
4,0.0,0,1811970003.798,1811970009.719,Moscow-KinoSat_110602,5.921000003814697
5,0.0,0,1811970003.798,1811970009.719,Delhi-KinoSat_111001,5.921000003814697
6,0.0,0,1811970003.798,1811970009.719,Delhi-KinoSat_110902,5.921000003814697
7,0.0,0,1811970003.798,1811970009.719,Delhi-KinoSat_110802,5.921000003814697
8,0.0,0,1811970003.798,1811970009.719,Norilsk-KinoSat_110701,5.921000003814697
9,0.0,0,1811970003.798,1811970009.719,Novosib-KinoSat_111010,5.921000003814697
10,0.0,0,1811970003.798,1811970009.719,Irkutsk-KinoSat_110801,5.921000003814697
11,0.0,0,1811970003.798,1811970009.719,Murmansk2-KinoSat_110304,5.921000003814697
12,0.0,0,1811970003.798,1811970009.719,Murmansk2-KinoSat_110702,5.921000003814697
13,0.0,0,1811970003.798,1811970009.719,Anadyr2-KinoSat_110501,5.921000003814697
14,0.0,0,1811970003.798,1811970009.719,Magadan2-KinoSat_110910,5.921000003814697
15,0.0,0,1811970003.798,1811970009.719,Murmansk2-KinoSat_111010,5.921000003814697
16,0.0,0,1811970003.798,1811970009.719,Anadyr2-KinoSat_110302,5.921000003814697
17,0.0,0,1811970003.798,1811970009.719,Norilsk-KinoSat_110901,5.921000003814697
18,0.0,0,1811970003.798,1811970009.719,Irkutsk-KinoSat_110901,5.921000003814697
19,0.0,0,1811970003.798,1811970009.719,Moscow-KinoSat_110801,5.921000003814697
20,0.0,0,1811970003.798,1811970009.719,Norilsk-KinoSat_110602,5.921000003814697
21,0.0,0,1811970003.798,1811970009.719,Murmansk1-KinoSat_110602,5.921000003814697
22,0.0,0,1811970003.798,1811970009.719,Moscow-KinoSat_110503,5.921000003814697
23,0.0,0,1811970003.798,1811970009.719,Norilsk-KinoSat_110502,5.921000003814697
24,0.0,0,1811970003.798,1811970009.719,Magadan1-KinoSat_110302,5.921000003814697
25,0.0,0,1811970003.798,1811970009.719,Magadan1-KinoSat_110501,5.921000003814697
26,0.0,0,1811970003.798,1811970009.719,Magadan2-KinoSat_110302,5.921000003814697
27,0.0,0,1811970003.798,1811970009.719,Magadan2-KinoSat_110402,5.921000003814697
28,0.0,0,1811970003.798,1811970009.719,Magadan1-KinoSat_110701,5.921000003814697
29,0.0,0,1811970003.798,1811970009.719,Moscow-KinoSat_110702,5.921000003814697
30,0.0,0,1811970003.798,1811970009.719,Murmansk1-KinoSat_110901,5.921000003814697
31,0.0,0,1811970003.798,1811970009.719,Novosib-KinoSat_111001,5.921000003814697
32,0.0,0,1811970003.798,1811970009.719,CapeTown-KinoSat_110406,5.921000003814697
33,0.0,0,1811970003.798,1811970009.719,Magadan1-KinoSat_110601,5.921000003814697
34,0.0,0,1811970003.798,1811970009.719,Anadyr2-KinoSat_110502,5.921000003814697
