,is_used_opportunity,transfered_data,index,start_datetime,end_datetime,origin,duration
0,0.0,0,6,1811797201.0,1811797251.0,Murmansk1-KinoSat_110301,50.0
1,0.0,0,6,1811797251.0,1811797293.168,Murmansk1-KinoSat_110301,42.16799998283386
2,0.0,0,7,1811797201.0,1811797251.0,Norilsk-KinoSat_110301,50.0
3,0.0,0,7,1811797251.0,1811797293.168,Norilsk-KinoSat_110301,42.16799998283386
4,0.0,0,8,1811797201.0,1811797251.0,Norilsk-KinoSat_110101,50.0
5,0.0,0,8,1811797251.0,1811797293.168,Norilsk-KinoSat_110101,42.16799998283386
6,0.0,0,9,1811797201.0,1811797251.0,Moscow-KinoSat_110301,50.0
7,0.0,0,9,1811797251.0,1811797293.168,Moscow-KinoSat_110301,42.16799998283386
8,0.0,0,10,1811797293.168,1811797343.168,Murmansk1-KinoSat_110301,50.0
9,0.0,0,10,1811797343.168,1811797393.168,Murmansk1-KinoSat_110301,50.0
10,0.0,0,10,1811797393.168,1811797409.895,Murmansk1-KinoSat_110301,16.72699999809265
11,0.0,0,11,1811797293.168,1811797343.168,Norilsk-KinoSat_110101,50.0
12,0.0,0,11,1811797343.168,1811797393.168,Norilsk-KinoSat_110101,50.0
13,0.0,0,11,1811797393.168,1811797409.895,Norilsk-KinoSat_110101,16.72699999809265
14,0.0,0,12,1811797293.168,1811797343.168,Moscow-KinoSat_110301,50.0
15,0.0,0,12,1811797343.168,1811797393.168,Moscow-KinoSat_110301,50.0
16,0.0,0,12,1811797393.168,1811797409.895,Moscow-KinoSat_110301,16.72699999809265
17,0.0,0,13,1811797409.895,1811797459.895,Murmansk1-KinoSat_110101,50.0
18,0.0,0,13,1811797459.895,1811797509.895,Murmansk1-KinoSat_110101,50.0
19,0.0,0,13,1811797509.895,1811797559.895,Murmansk1-KinoSat_110101,50.0
20,0.0,0,13,1811797559.895,1811797609.895,Murmansk1-KinoSat_110101,50.0
21,0.0,0,13,1811797609.895,1811797614.237,Murmansk1-KinoSat_110101,4.3420000076293945
22,0.0,0,14,1811797409.895,1811797459.895,Norilsk-KinoSat_110101,50.0
23,0.0,0,14,1811797459.895,1811797509.895,Norilsk-KinoSat_110101,50.0
24,0.0,0,14,1811797509.895,1811797559.895,Norilsk-KinoSat_110101,50.0
25,0.0,0,14,1811797559.895,1811797609.895,Norilsk-KinoSat_110101,50.0
26,0.0,0,14,1811797609.895,1811797614.237,Norilsk-KinoSat_110101,4.3420000076293945
27,0.0,0,15,1811797409.895,1811797459.895,Moscow-KinoSat_110301,50.0
28,0.0,0,15,1811797459.895,1811797509.895,Moscow-KinoSat_110301,50.0
29,0.0,0,15,1811797509.895,1811797559.895,Moscow-KinoSat_110301,50.0
30,0.0,0,15,1811797559.895,1811797609.895,Moscow-KinoSat_110301,50.0
31,0.0,0,15,1811797609.895,1811797614.237,Moscow-KinoSat_110301,4.3420000076293945
32,0.0,0,16,1811797409.895,1811797459.895,Murmansk1-KinoSat_110301,50.0
33,0.0,0,16,1811797459.895,1811797509.895,Murmansk1-KinoSat_110301,50.0
34,0.0,0,16,1811797509.895,1811797559.895,Murmansk1-KinoSat_110301,50.0
35,0.0,0,16,1811797559.895,1811797609.895,Murmansk1-KinoSat_110301,50.0
36,0.0,0,16,1811797609.895,1811797614.237,Murmansk1-KinoSat_110301,4.3420000076293945
37,0.0,0,17,1811797614.237,1811797664.237,Murmansk1-KinoSat_110101,50.0
38,0.0,0,17,1811797664.237,1811797668.814,Murmansk1-KinoSat_110101,4.57699990272522
39,0.0,0,18,1811797614.237,1811797664.237,Norilsk-KinoSat_110101,50.0
40,0.0,0,18,1811797664.237,1811797668.814,Norilsk-KinoSat_110101,4.57699990272522
41,0.0,0,19,1811797614.237,1811797664.237,Moscow-KinoSat_110301,50.0
42,0.0,0,19,1811797664.237,1811797668.814,Moscow-KinoSat_110301,4.57699990272522
43,0.0,0,20,1811797668.814,1811797718.814,Murmansk1-KinoSat_110101,50.0
44,0.0,0,20,1811797718.814,1811797731.97,Murmansk1-KinoSat_110101,13.156000137329102
45,0.0,0,21,1811797668.814,1811797718.814,Norilsk-KinoSat_110101,50.0
46,0.0,0,21,1811797718.814,1811797731.97,Norilsk-KinoSat_110101,13.156000137329102
47,0.0,0,22,1811797668.814,1811797718.814,Moscow-KinoSat_110301,50.0
48,0.0,0,22,1811797718.814,1811797731.97,Moscow-KinoSat_110301,13.156000137329102
49,0.0,0,23,1811797668.814,1811797718.814,Moscow-KinoSat_110101,50.0
50,0.0,0,23,1811797718.814,1811797731.97,Moscow-KinoSat_110101,13.156000137329102
51,0.0,0,24,1811797731.97,1811797781.97,Murmansk1-KinoSat_110101,50.0
52,0.0,0,24,1811797781.97,1811797792.266,Murmansk1-KinoSat_110101,10.296000003814697
53,0.0,0,25,1811797731.97,1811797781.97,Norilsk-KinoSat_110101,50.0
54,0.0,0,25,1811797781.97,1811797792.266,Norilsk-KinoSat_110101,10.296000003814697
55,0.0,0,26,1811797731.97,1811797781.97,Moscow-KinoSat_110101,50.0
56,0.0,0,26,1811797781.97,1811797792.266,Moscow-KinoSat_110101,10.296000003814697
57,0.0,0,27,1811797792.266,1811797842.266,Murmansk1-KinoSat_110101,50.0
58,0.0,0,27,1811797842.266,1811797892.266,Murmansk1-KinoSat_110101,50.0
59,0.0,0,27,1811797892.266,1811797942.266,Murmansk1-KinoSat_110101,50.0
60,0.0,0,27,1811797942.266,1811797992.266,Murmansk1-KinoSat_110101,50.0
61,0.0,0,27,1811797992.266,1811798042.266,Murmansk1-KinoSat_110101,50.0
62,0.0,0,27,1811798042.266,1811798070.501,Murmansk1-KinoSat_110101,28.234999895095825
63,0.0,0,28,1811797792.266,1811797842.266,Moscow-KinoSat_110101,50.0
64,0.0,0,28,1811797842.266,1811797892.266,Moscow-KinoSat_110101,50.0
65,0.0,0,28,1811797892.266,1811797942.266,Moscow-KinoSat_110101,50.0
66,0.0,0,28,1811797942.266,1811797992.266,Moscow-KinoSat_110101,50.0
67,0.0,0,28,1811797992.266,1811798042.266,Moscow-KinoSat_110101,50.0
68,0.0,0,28,1811798042.266,1811798070.501,Moscow-KinoSat_110101,28.234999895095825
